shangpai_date,url,price,title,address,price_new,xingshi
2009-09,https://www.guazi.com/wh/4bf55a969a25b6d3x.htm,¥3.50            ,起亚赛拉图 2007款 1.6L MT GL,武汉,"
                            新车指导价10.20万(含税)
                    ",2.51万公里
2013-10,https://www.guazi.com/wh/bd31e14bfe700357x.htm,¥4.40            ,铃木雨燕 2013款 1.5L 自动运动版,武汉,"
                            新车指导价10.00万(含税)
                    ",5.7万公里
2015-08,https://www.guazi.com/wh/2d3ba0a54bc6d522x.htm,¥10.00            ,陆风X7 2015款 2.0T 全景尊贵版,武汉,"
                            新车指导价15.20万(含税)
                    ",1.81万公里
2010-03,https://www.guazi.com/wh/dcb277448e99f569x.htm,¥3.60            ,江淮瑞风 2008款 2.0L穿梭 汽油 简配前后空调型,武汉,"
                            新车指导价11.50万(含税)
                    ",5.54万公里
2014-07,https://www.guazi.com/wh/883fbe4ebed24c88x.htm,¥5.50            ,本田飞度 2014款 1.5L LX 手动舒适型,武汉,"
                            新车指导价8.00万(含税)
                    ",3.04万公里
2015-06,https://www.guazi.com/wh/16d4a153943dd266x.htm,¥9.20            ,标致408 2014款 1.8L 自动豪华版,武汉,"
                            新车指导价16.20万(含税)
                    ",3.04万公里
2016-11,https://www.guazi.com/wh/45edc40ef3700b0ex.htm,¥10.30            ,起亚智跑 2016款 2.0L 手动两驱版GL,武汉,"
                            新车指导价15.70万(含税)
                    ",0.8万公里
2010-05,https://www.guazi.com/wh/6b844909c04fcb40x.htm,¥6.88            ,本田思域 2009款 1.8L 自动豪华版,武汉,"
                            新车指导价18.20万(含税)
                    ",5.67万公里
2011-10,https://www.guazi.com/wh/a746b150c8a23a8ax.htm,¥2.50            ,长城C20R 2011款 1.5L 手动都市型,武汉,"
                            新车指导价6.80万(含税)
                    ",6.81万公里
2013-11,https://www.guazi.com/wh/dc2247b34f3f7329x.htm,¥1.70            ,比亚迪F0 2012款 1.0L 悦酷型,武汉,"
                            新车指导价4.40万(含税)
                    ",4.07万公里
2015-03,https://www.guazi.com/wh/3dbf832fc81e3ef3x.htm,¥2.80            ,长安商用欧诺 2014款 1.5L基本型,武汉,"
                            新车指导价4.20万(含税)
                    ",4.4万公里
2014-05,https://www.guazi.com/wh/406cbf05b79592dex.htm,¥2.00            ,金杯小海狮X30 2013款 1.3L标准型,武汉,"
                            新车指导价3.90万(含税)
                    ",7.5万公里
